id,question,expected_source_doc,expected_answer,test_intent,system,kb_id_or_name,search_type,embedding_model,number_of_results,filter_name,filter_json,latency_ms,hit_rank,retrieved_source_doc,retrieved_chunk_excerpt,citation_correct,answer,answer_score,comment
Q01,テレワークの通常時上限と、特別な事情がある場合の上限は？,DOC-TELEWORK-2026,週2日、特別時は所属長承認で週4日,旧版DOC-TELEWORK-2025とノイズ文書に引っ張られないかを見る。metadata status/effective_from_num filterが重要,s3_vectors_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q01,テレワークの通常時上限と、特別な事情がある場合の上限は？,DOC-TELEWORK-2026,週2日、特別時は所属長承認で週4日,旧版DOC-TELEWORK-2025とノイズ文書に引っ張られないかを見る。metadata status/effective_from_num filterが重要,opensearch_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q01,テレワークの通常時上限と、特別な事情がある場合の上限は？,DOC-TELEWORK-2026,週2日、特別時は所属長承認で週4日,旧版DOC-TELEWORK-2025とノイズ文書に引っ張られないかを見る。metadata status/effective_from_num filterが重要,opensearch_hybrid,,HYBRID,,10,none,,,,,,,,,
Q02,テレワーク申請は何営業日前まで？,DOC-TELEWORK-2026,3営業日前,旧版では5営業日前。近似文書の取り違えを検出,s3_vectors_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q02,テレワーク申請は何営業日前まで？,DOC-TELEWORK-2026,3営業日前,旧版では5営業日前。近似文書の取り違えを検出,opensearch_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q02,テレワーク申請は何営業日前まで？,DOC-TELEWORK-2026,3営業日前,旧版では5営業日前。近似文書の取り違えを検出,opensearch_hybrid,,HYBRID,,10,none,,,,,,,,,
Q03,生成AIに入力してはいけない情報を列挙して。,DOC-SEC-2026,個人情報、未公表政策情報、契約前調達情報、認証情報、秘密指定資料,箇条書き検索の基本精度,s3_vectors_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q03,生成AIに入力してはいけない情報を列挙して。,DOC-SEC-2026,個人情報、未公表政策情報、契約前調達情報、認証情報、秘密指定資料,箇条書き検索の基本精度,opensearch_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q03,生成AIに入力してはいけない情報を列挙して。,DOC-SEC-2026,個人情報、未公表政策情報、契約前調達情報、認証情報、秘密指定資料,箇条書き検索の基本精度,opensearch_hybrid,,HYBRID,,10,none,,,,,,,,,
Q04,USBメモリは使ってよいか。例外条件も答えて。,DOC-SEC-2026,原則禁止。情報システム部門貸与の暗号化USBのみ、利用後ウイルスチェック,否定と例外の読解,s3_vectors_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q04,USBメモリは使ってよいか。例外条件も答えて。,DOC-SEC-2026,原則禁止。情報システム部門貸与の暗号化USBのみ、利用後ウイルスチェック,否定と例外の読解,opensearch_semantic,,SEMANTIC,,10,none,,,,,,,,,
Q04,USBメモリは使ってよいか。例外条件も答えて。,DOC-SEC-2026,原則禁止。情報システム部門貸与の暗号化USBのみ、利用後ウイルスチェック,否定と例外の読解,opensearch_hybrid,,HYBRID,,10,none,,,,,,,,,
